GAPLENGHT, PREAMBLELENGHT, PAYLOADLENGHT, DATARATE, speed, totalPackets, totalBits, Count, correctCount, correctPercentage, Starttime, Endtime, Duration, Missedframes, correctDataSpeed, correctPayloadSpeed, usefullPayloadSpeed, distance
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    156,    132,    84%,    1640359201.2411678,    1640359382.1032572,    180.86209106445312,    155,    233,    175,    175,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    1081,    932,    86%,    1640359392.770601,    1640360592.997859,    1200.2272591590881,    1077,    248,    186,    66,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    147,    125,    85%,    1640361040.384369,    1640361221.1569102,    180.7725431919098,    146,    221,    165,    165,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    157,    132,    84%,    1640361421.577984,    1640361602.110938,    180.53295469284058,    156,    233,    175,    175,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    158,    134,    84%,    1640361627.650523,    1640361808.0759292,    180.42540788650513,    157,    237,    178,    178,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    155,    135,    87%,    1640362233.964858,    1640362413.9787588,    180.01390290260315,    154,    239,    179,    179,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    3541,    3469,    97%,    1640362429.039365,    1640366029.484235,    3600.444871902466,    3529,    308,    231,    22,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    3608,    3556,    98%,    1640368462.535712,    1640372062.5610209,    3600.0253109931946,    3596,    316,    237,    22,    95
24,    24,    256,    0.002,    500b/s,    35000,    11200000,    850,    774,    91%,    1640713727.191998,    1640716436.568295,    2709.376298904419,    841,    91,    68,    29,    95
24,    24,    256,    0.002,    500b/s,    35000,    11200000,    1771,    1713,    96%,    1640717770.663508,    1640719570.886268,    1800.2227621078491,    1765,    304,    228,    44,    95






24,    24,    256,    0.003,    333b/s,    35000,    11200000,    5,    0,    0%,    1641485851.595781,    1641485862.184962,    10.58918309211731,    4,    0,    0,    0,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    6,    2,    33%,    1641485862.185312,    1641485872.637244,    10.451933860778809,    5,    61,    45,    45,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    154,    129,    83%,    1641486083.4199739,    1641486266.720902,    183.30093002319336,    153,    225,    168,    167,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    157,    130,    82%,    1641486266.721185,    1641486447.7627048,    181.04152297973633,    156,    229,    172,    172,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    163,    145,    88%,    1641486447.763049,    1641486627.8702168,    180.10717010498047,    162,    257,    193,    193,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    160,    143,    89%,    1641486627.8704598,    1641486808.776768,    180.90630912780762,    159,    252,    189,    189,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    176,    164,    93%,    1641486808.77884,    1641486989.474304,    180.69546604156494,    175,    290,    217,    217,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    154,    137,    88%,    1641486989.474711,    1641487170.3276439,    180.852933883667,    153,    242,    181,    181,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    151,    122,    80%,    1641487170.329921,    1641487351.1234581,    180.7935380935669,    150,    215,    161,    161,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    171,    160,    93%,    1641487351.125661,    1641487531.943968,    180.8183090686798,    170,    283,    212,    212,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    158,    131,    82%,    1641487531.945974,    1641487712.375469,    180.4294970035553,    157,    232,    174,    174,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    144,    122,    84%,    1641487712.37571,    1641487894.670039,    182.29433012008667,    143,    214,    160,    160,    95





24,    24,    32,    0.003,    333b/s,    35000,    3360000,    257,    235,    91%,    1641488972.086865,    1641489062.756441,    90.66957783699036,    256,    248,    41,    41,    95
24,    24,    64,    0.003,    333b/s,    35000,    4480000,    213,    200,    93%,    1641489062.7570229,    1641489153.205589,    90.4485731124878,    212,    283,    106,    106,    95
24,    24,    96,    0.003,    333b/s,    35000,    5600000,    166,    151,    90%,    1641489153.2060852,    1641489243.795834,    90.58974957466125,    165,    266,    133,    133,    95
24,    24,    128,    0.003,    333b/s,    35000,    6720000,    136,    122,    89%,    1641489243.797992,    1641489335.750206,    91.95221590995789,    135,    254,    148,    148,    95
24,    24,    160,    0.003,    333b/s,    35000,    7840000,    104,    78,    75%,    1641489335.7504792,    1641489426.525014,    90.77453780174255,    103,    192,    123,    122,    95
24,    24,    192,    0.003,    333b/s,    35000,    8960000,    99,    82,    82%,    1641489426.525454,    1641489518.372867,    91.84741401672363,    98,    228,    157,    155,    95
24,    24,    224,    0.003,    333b/s,    35000,    10080000,    81,    61,    75%,    1641489518.37509,    1641489609.3729658,    90.99787902832031,    80,    193,    139,    139,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    79,    64,    81%,    1641489609.375024,    1641489700.3483388,    90.97331690788269,    78,    225,    168,    168,    95
24,    24,    288,    0.003,    333b/s,    35000,    12320000,    78,    71,    91%,    1641489700.350374,    1641489794.174474,    93.82410216331482,    77,    266,    205,    205,    95
24,    24,    320,    0.003,    333b/s,    35000,    13440000,    64,    49,    76%,    1641489794.1766741,    1641489885.133523,    90.95685076713562,    63,    206,    163,    163,    95
24,    24,    352,    0.003,    333b/s,    35000,    14560000,    56,    39,    69%,    1641489885.1337621,    1641489976.158087,    91.02432584762573,    55,    178,    143,    143,    95
24,    24,    384,    0.003,    333b/s,    35000,    15680000,    48,    39,    81%,    1641489976.160386,    1641490070.873091,    94.71270704269409,    47,    184,    151,    151,    95
24,    24,    416,    0.003,    333b/s,    35000,    16800000,    52,    40,    76%,    1641490070.875106,    1641490163.536203,    92.66109991073608,    51,    207,    172,    172,    95
24,    24,    448,    0.003,    333b/s,    35000,    17920000,    40,    30,    75%,    1641490163.538333,    1641490254.0691001,    90.53077006340027,    39,    169,    143,    143,    95
24,    24,    480,    0.003,    333b/s,    35000,    19040000,    40,    23,    57%,    1641490254.069359,    1641490345.73271,    91.66335391998291,    39,    136,    116,    116,    95
